brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color,brand_name_encoded,processor_type_encoded,processor_brand_encoded,generations_encoded,display_type_encoded,color_encoded,storage_type,storage_type_encoded,is_gaming,price_category,Hierarchical,DBSCAN_Original,DBSCAN_UMAP,DBSCAN_PCA
lenovo,"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 256GB SSD 14 Inch FHD Display Misty Blue Laptop<br> Product Id: 33.01.200.1143",Intel Core i3,Intel,12th,8,256,True,False,0,56500,14.0,FHD,Misty Blue,10,10,2,2,3,42,SSD,1,0,0,4,1,5,0
lenovo,Lenovo IdeaPad Slim 3i 14ITL Intel Core i3 1115G4 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.986,Intel Core i3,Intel,11th,8,256,True,False,0,56900,14.0,FHD,Arctic Grey,10,10,2,1,3,3,SSD,1,0,0,4,1,5,0
asus,Asus ExpertBook P2451FA Intel Core i3 10110U 4GB RAM 1TB HDD 14 Inch FHD Display Star Black Laptop<br> Product Id: 33.01.006.1615,Intel Core i3,Intel,10th,4,1024,False,True,0,57000,14.0,FHD,Star Black,2,10,2,0,3,73,HDD,0,0,0,4,3,1,0
hp,HP 240 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 14 Inch FHD Display Ash Laptop<br> Product Id: 33.01.020.1424,Intel Core i3,Intel,11th,8,1024,False,True,0,57500,14.0,FHD,Ash,7,10,2,1,3,4,HDD,0,0,0,4,3,1,0
hp,HP 250 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1499,Intel Core i3,Intel,11th,8,1024,False,True,0,57500,15.6,FHD,Silver,7,10,2,1,3,67,HDD,0,0,0,4,3,1,0
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1107,Intel Core i3,Intel,11th,8,512,True,False,0,57500,15.6,FHD,Arctic Grey,10,10,2,1,3,3,SSD,1,0,0,4,1,3,0
lenovo,Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1108,Intel Core i3,Intel,11th,8,512,True,False,0,57500,14.0,FHD,Arctic Grey,10,10,2,1,3,3,SSD,1,0,0,4,1,5,0
hp,HP 255 G8 AMD Ryzen 3 5300U 8GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop<br> Product Id: 33.01.020.1527,AMD Ryzen 3,AMD,Not Applicable,8,1024,False,True,0,57500,15.6,FHD,Dark Ash Silver,7,1,0,4,3,19,HDD,0,0,0,4,3,1,1
acer,Acer Aspire 3 A315-24P AMD Ryzen 5 7520U 8GB RAM 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1037,AMD Ryzen 5,AMD,Not Applicable,8,512,True,False,0,58000,15.6,FHD,Pure Silver,0,2,0,4,3,60,SSD,1,0,0,1,0,1,1
infinix,"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.937.01",Intel Core i5,Intel,11th,8,512,True,False,0,58990,15.6,FHD,Silver,9,11,2,1,3,67,SSD,1,0,0,4,1,3,0
