brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color
asus,Asus E510MA Intel CDC N4020 4GB RAM 512GB SSD 15.6 Inch FHD Display Star Black Laptop #EJ601W-E510MA<br> Product Id: 33.01.006.1515,Intel Celeron,Intel,Not Applicable,4,512,True,False,-1,47000,15.6,FHD,Star Black
asus,"Asus D415DA AMD Ryzen 3 3250U 8GB RAM 1TB HDD 14 Inch HD Display, Slate Grey Laptop<br> Product Id: 33.01.006.1773",AMD Ryzen 3,AMD,Not Applicable,8,1024,False,True,-1,47900,14.0,HD,Slate Grey
chuwi,Chuwi MiniBook X 2 in 1 Intel Core N100 12GB RAM 512GB SSD 10.5 Inch FHD+ WUXGA Touch Display Grey Laptop<br> Product Id: 33.01.767.21,Intel Core N100,Intel,12th,12,512,True,False,-1,47900,10.5,FHD WUXGA,Grey
asus,Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #EJ1325W-D515DA<br> Product Id: 33.01.006.1506,AMD Ryzen 3,AMD,Not Applicable,4,512,True,False,-1,48900,15.6,FHD,Slate Grey
asus,Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #D515DA-EJ1576W<br> Product Id: 33.01.006.1644,AMD Ryzen 3,AMD,Not Applicable,4,512,True,False,-1,48900,15.6,FHD,Slate Grey
chuwi,Chuwi UBook X 2 in 1 Intel Core i5 10210Y 8GB RAM 256GB SSD 12 Inch 2K Touch Display Grey Laptop<br> Product Id: 33.01.767.22,Intel Core i5,Intel,10th,8,256,True,False,-1,49900,12.0,FHD IPS,Grey
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1047,Intel Core i3,Intel,11th,4,1024,False,True,-1,52900,15.6,FHD,Arctic Grey
lenovo,Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop<br> Product Id: 33.01.200.1092,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,-1,53400,15.6,FHD,Cloud Grey
acer,Acer Aspire 3 A315-510P (13th Gen Standard) Intel Core i3 N305 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.987,Intel Core i3,Intel,13th,8,512,True,False,-1,54000,15.6,FHD,Pure Silver
hp,HP 15s-du3611TU Intel Core i3 1125G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Jet Black Laptop<br> Product Id: 33.01.020.1396,Intel Core i3,Intel,11th,4,1024,False,True,-1,55500,15.6,FHD,Jet Black
